,AB,AVG,Player,Pos
0,2,1.000,"Kratz, E",C
1,7,.571,"Andujar, M",3B
2,3,.333,"Pineda, M",P
3,43,.326,"Cooper, G",1B
4,443,.300,"Castro, S",2B
5,315,.292,"Torreyes, R",2B
6,534,.287,"Gregorius, D",SS
7,542,.284,"Judge, A",RF
8,471,.278,"Sanchez, G",C
9,512,.273,"Headley, C",3B
10,15,.267,"Choi, J",1B
11,301,.266,"Hicks, A",CF
12,594,.264,"Gardner, B",LF
13,356,.264,"Ellsbury, J",CF
14,16,.250,"Williams, M",RF
15,134,.231,"Frazier, C",LF
16,373,.231,"Holliday, M",DH
17,40,.225,"Austin, T",1B
18,194,.222,"Frazier, T",3B
19,229,.218,"Romine, A",C
20,184,.201,"Carter, C",1B
21,5,.200,"Severino, L",P
22,147,.190,"Bird, G",1B
23,58,.155,"Wade, T",SS
24,37,.135,"Refsnyder, R",1B
25,9,.111,"Kozma, P",SS
26,2,.000,"Garcia, J",P
27,18,.000,"Higashioka, K",C
28,3,.000,"Montgomery, J",P
29,3,.000,"Sabathia, C",P
30,2,.000,"Shreve, C",P
31,2,.000,"Tanaka, M",P
32,0,.---,"Betances, D",P
33,0,.---,"Chapman, A",P
34,0,.---,"Clippard, T",P
35,0,.---,"Fowler, D",CF
36,0,.---,"Green, C",P
37,0,.---,"Holder, J",P
38,0,.---,"Kahnle, T",P
39,0,.---,"Layne, T",P
40,0,.---,"Mitchell, B",P
41,0,.---,"Robertson, D",P
42,0,.---,"Smith, C",P
43,0,.---,"Warren, A",P
